word,value
koneksi,2.0
tergelak,4.0
sketsa,2.0
gelagat,1.0
tingkah laku,1.0
maklum,3.0
kebijakan,3.0
sepatutnya,2.0
beranda,1.0
permenungan,2.0
rapal,1.0
kemiripan,2.0
tertawa,5.0
sadar,2.0
berkarya,3.0
sewajarnya,2.0
menegarkan,2.0
great,3.0
menyanjung-sanjung,2.0
membunyikan,2.0
dateng,2.0
merapat,1.0
merata,1.0
antologi,1.0
pengalaman,2.0
rame,2.0
saran,2.0
adil,4.0
fulanah,1.0
coretan,2.0
ketawa,4.0
bertemu,2.0
persamaan,2.0
guruh,2.0
lumayan,1.0
mengembang,1.0
selfie,2.0
album,3.0
kiprah,3.0
dihati,3.0
verbal,1.0
suratan takdir,2.0
stabil,3.0
memuji-muji,4.0
lagak,2.0
terindah,5.0
aksi,2.0
sikap,2.0
terlewat,1.0
menegur,2.0
ngopi,3.0
solo,2.0
teguk,2.0
kalap,1.0
jatah,3.0
engah,1.0
untung,3.0
eaa,1.0
jujur,4.0
keras hati,1.0
koleksi,1.0
pertahanin,1.0
undang,2.0
berdendang,4.0
hoki,3.0
peruntungan,4.0
mantap,5.0
sugesti,2.0
tuah,1.0
patuh,4.0
keaktifan,2.0
melambungkan,2.0
pelajaran,2.0
usul,2.0
tenggang,1.0
sebanding,3.0
getol,2.0
gila-gilaan,2.0
melafalkan,2.0
terjaga,2.0
berserah,2.0
rohaniah,2.0
sepantasnya,2.0
ratu,2.0
mencium telapak kaki,1.0
daya upaya,3.0
setimpal,2.0
pasrah,3.0
buka,3.0
mahal,1.0
bertukar akal,1.0
kepuasan,3.0
mafhum,3.0
siuman,3.0
meluas,2.0
perkembangan,2.0
tekun,4.0
melek,2.0
lupain,1.0
musik,2.0
siapa,1.0
nikmati,3.0
dongeng,3.0
adek,1.0
streng,1.0
akidah,3.0
sponsor,2.0
keliatan,2.0
penunjang,3.0
kerasan,2.0
ketaatan,3.0
pendukung,4.0
telaten,4.0
malu,2.0
suporter,3.0
gempita,4.0
hingar,2.0
ikat,1.0
kontak,2.0
kenyamanan,4.0
kelahiran,3.0
diproses,1.0
penanganan,1.0
maslahat,3.0
ketetapan hati,3.0
solusi,3.0
pacarnya,2.0
homogen,2.0
gepok,2.0
sekolah,3.0
relasi,3.0
peristiwa,2.0
sastra,2.0
wajar,3.0
gegap,2.0
import,2.0
lukisan,2.0
cercah,2.0
lupakan,1.0
dikonfirmasi,3.0
perkasa,4.0
laba,4.0
esai,2.0
sumbu,2.0
iman,3.0
insiden,1.0
slow,1.0
dogmatis,2.0
penyokong,3.0
merilis,3.0
ekspres,3.0
hikmat,3.0
dahsyat,2.0
bersamamu,3.0
cute,5.0
keuntungan,4.0
baiklah,2.0
keteguhan hati,3.0
resolusi,3.0
memudar,2.0
kekuatan batin,3.0
menjadi-jadi,1.0
kumbang,1.0
alot,1.0
persahabatan,4.0
simple,3.0
selengkapnya,1.0
hiruk,1.0
okeey,2.0
deras,2.0
ceritanya,2.0
komunikasi,2.0
dicoba,2.0
dikirim,2.0
kekeliruan,1.0
mancing,2.0
demen,3.0
penyelesaian,2.0
tewas,1.0
proud,5.0
tergila-gila,3.0
voucher,3.0
ngaku,2.0
penanggulangan,2.0
anjir,1.0
keteguhan batin,3.0
perebutan,1.0
berkah,4.0
arak,2.0
kaya,2.0
ngalah,2.0
tulus hati,4.0
mimpian,2.0
team,1.0
silir-semilir,2.0
moga-moga,1.0
yaaaa,1.0
kado,2.0
terimaksih,4.0
berlimpah,1.0
mendarat,1.0
doain,2.0
baby,2.0
challenge,2.0
mulus,4.0
berdansa,3.0
prajurit,2.0
cintaku,4.0
welcome,4.0
mengenal,1.0
berjilbab,3.0
kerinduan,2.0
kalem,4.0
memantai,1.0
nungguin,1.0
game,2.0
leleh,1.0
ampun,1.0
amalan,4.0
tuntas,2.0
temennya,1.0
kukuh,2.0
rida,2.0
kepercayaan,3.0
masjid,3.0
mengucup,2.0
bantuin,3.0
ibadah,4.0
umum,1.0
pelangi,4.0
rejeki,4.0
tunai,3.0
membahagiakan,4.0
quran,3.0
produktif,2.0
alhamdulilah,3.0
rampung,3.0
tertata,3.0
solusinya,3.0
ikhlas,4.0
terbiasa,3.0
shiawase,2.0
kliyengan,1.0
pengaman,2.0
yank,2.0
aamiin,2.0
subur,2.0
gelak,2.0
betul,2.0
religi,1.0
memasuki,2.0
keprihatinan,2.0
nestapa,1.0
khawatir,1.0
masak,2.0
birthday,4.0
khayal,2.0
berparade,1.0
pantes,1.0
rapi,3.0
surau,2.0
dimiliki,1.0
siap,1.0
koordinasikan,1.0
kebanyakan,2.0
goreng,1.0
normal,1.0
tertarik,2.0
mengimbangi,1.0
bersahabat,2.0
sejati,3.0
undangan,1.0
smpai,1.0
mencinta,5.0
kuat,2.0
hati-hati,2.0
menghadiahi,4.0
pseudonim,2.0
mengingat-ingat,2.0
juta,2.0
ustazah,3.0
dicuekin,1.0
judul,2.0
kekayaan,2.0
modal,2.0
pelita,4.0
novel,2.0
cegak,1.0
sahabatnya,3.0
resmi,2.0
mudahan,1.0
sukacita,2.0
formal,2.0
liburan,3.0
pendek,1.0
ingat,2.0
prospek,3.0
gurih,1.0
matahari,2.0
visi,2.0
familiar,2.0
pantas,1.0
ganteng,4.0
jaga-jaga,1.0
menyesal,1.0
substansi,1.0
ganjaran balasan,1.0
jagoan,3.0
berirama,4.0
lihai,2.0
artis,2.0
portofolio,2.0
alaikum,2.0
teratur,4.0
aduh,1.0
bersesal,1.0
bonus,4.0
kekeluargaan,4.0
melengkapi,3.0
invitasi,2.0
upah,1.0
globe,1.0
menginsafi,3.0
banyak akal,3.0
mumpung,2.0
suara,2.0
besar hati,3.0
better,2.0
jeli,4.0
hemat,4.0
terlanjur,1.0
entitas,1.0
tajam mata,2.0
mendalam,3.0
insaf,2.0
pertiwi,3.0
imbalan,1.0
premium,2.0
simpatik,2.0
fantasy,2.0
mentab,2.0
memberi,2.0
ngajak,1.0
sayangnya,1.0
salambersama,1.0
muji,2.0
mengerti,2.0
lezat,5.0
tentangan,2.0
kepoin,2.0
sedap,5.0
tahan lama,1.0
lulus,5.0
mengganyang,1.0
ijtihad,3.0
ahli agama,1.0
pangeran,1.0
sahaja,2.0
meredam,1.0
merasai,1.0
solat,1.0
pendapatan,2.0
waspada,3.0
menyuap,1.0
ajakan,1.0
menyadari,2.0
ramah,5.0
satir,1.0
silaturahim,4.0
dibayar,3.0
terencana,2.0
pundi-pundi,2.0
